,Date,Open,High,Low,Close,Volume,Year,Month,Day
3013,2019-10-02,4.25,4.25,4.25,4.25,500,2019,10,2
3014,2019-10-03,4.01,4.3,4.0,4.09,297500,2019,10,3
3015,2019-10-04,4.07,4.19,4.02,4.19,31000,2019,10,4
3016,2019-10-07,4.11,4.39,4.11,4.3,19500,2019,10,7
3017,2019-10-08,4.29,4.3,4.15,4.2,86000,2019,10,8
3018,2019-10-09,4.12,4.4,4.12,4.37,51000,2019,10,9
3019,2019-10-10,4.25,4.35,4.25,4.35,27000,2019,10,10
3020,2019-10-11,4.45,4.45,4.4,4.4,10500,2019,10,11
3021,2019-10-14,4.16,4.5,4.16,4.2,223000,2019,10,14
3022,2019-10-15,4.3,4.35,4.26,4.26,10000,2019,10,15
3023,2019-10-16,4.13,4.28,4.13,4.28,22000,2019,10,16
3024,2019-10-18,4.3,4.3,4.3,4.3,500,2019,10,18
3057,2019-12-06,5.31,6.33,5.31,5.99,2763500,2019,12,6
3058,2019-12-09,5.85,6.0,5.7,5.72,242000,2019,12,9
3027,2019-10-23,4.2,4.2,4.2,4.2,1000,2019,10,23
3028,2019-10-24,4.2,4.2,4.09,4.09,13000,2019,10,24
3029,2019-10-25,4.11,4.11,4.1,4.1,16000,2019,10,25
3030,2019-10-28,4.12,4.23,4.1,4.23,34000,2019,10,28
3031,2019-10-29,4.11,4.11,4.11,4.11,500,2019,10,29
3032,2019-10-31,4.4,4.4,4.4,4.4,1000,2019,10,31
3033,2019-11-01,4.45,4.45,4.23,4.23,9000,2019,11,1
3034,2019-11-05,4.15,4.25,4.15,4.25,2000,2019,11,5
3035,2019-11-06,4.15,4.49,4.15,4.48,7500,2019,11,6
3036,2019-11-07,4.4,4.59,4.4,4.58,23000,2019,11,7
3037,2019-11-08,4.46,4.5,4.3,4.48,132000,2019,11,8
3038,2019-11-11,4.5,5.3,4.5,5.04,304000,2019,11,11
3039,2019-11-12,5.05,5.48,4.66,5.37,125500,2019,11,12
3040,2019-11-13,5.0,5.2,5.0,5.2,6000,2019,11,13
3072,2019-12-30,5.26,5.48,5.25,5.36,23000,2019,12,30
3073,2019-12-31,5.25,5.4,5.25,5.4,6500,2019,12,31
3043,2019-11-18,6.4,6.99,6.1,6.71,866500,2019,11,18
3044,2019-11-19,7.0,7.1,6.02,6.06,126000,2019,11,19
3045,2019-11-20,6.1,6.3,5.89,5.89,70500,2019,11,20
3046,2019-11-21,5.8,5.8,5.5,5.5,97000,2019,11,21
3047,2019-11-22,6.3,6.3,5.2,5.49,110500,2019,11,22
3048,2019-11-25,5.5,5.5,5.21,5.3,246000,2019,11,25
3049,2019-11-26,5.5,5.5,5.03,5.28,465500,2019,11,26
3050,2019-11-27,5.21,5.25,5.2,5.22,30500,2019,11,27
3051,2019-11-28,5.25,5.4,5.15,5.16,580500,2019,11,28
3052,2019-11-29,5.05,5.38,4.99,5.13,1425000,2019,11,29
3053,2019-12-02,5.25,5.59,5.14,5.45,1881500,2019,12,2
3054,2019-12-03,5.5,5.6,5.25,5.25,774500,2019,12,3
3055,2019-12-04,5.34,5.4,5.2,5.3,824500,2019,12,4
3056,2019-12-05,5.39,5.55,5.25,5.33,907500,2019,12,5
2865,2019-01-23,7.0,7.0,6.82,6.82,10500,2019,1,23
2866,2019-01-24,7.0,7.19,6.9,6.98,2139500,2019,1,24
3090,2020-01-23,5.5,5.5,5.35,5.47,62500,2020,1,23
3106,2020-02-17,5.6,5.79,5.6,5.6,37500,2020,2,17
3075,2020-01-02,5.5,5.63,5.46,5.57,1203500,2020,1,2
3316,2020-12-24,6.3,6.35,6.18,6.25,584000,2020,12,24
3317,2020-12-28,6.25,6.35,6.16,6.3,230000,2020,12,28
3318,2020-12-29,6.4,6.51,6.25,6.29,1026500,2020,12,29
3319,2020-12-30,6.48,6.51,6.35,6.5,404500,2020,12,30
3320,2020-12-31,6.5,6.53,6.4,6.42,168500,2020,12,31
3300,2020-12-02,6.21,6.39,6.21,6.27,140500,2020,12,2
3301,2020-12-03,6.43,6.43,6.25,6.25,32500,2020,12,3
3302,2020-12-04,6.3,6.4,6.25,6.3,146500,2020,12,4
3303,2020-12-07,6.44,6.45,6.25,6.3,93500,2020,12,7
3304,2020-12-08,6.4,6.4,6.15,6.16,544500,2020,12,8
3305,2020-12-09,6.39,6.39,6.14,6.18,229500,2020,12,9
3306,2020-12-10,6.11,6.32,6.04,6.11,414500,2020,12,10
3307,2020-12-11,6.15,6.28,6.06,6.1,99500,2020,12,11
3308,2020-12-14,6.25,6.29,6.15,6.25,262000,2020,12,14
