Date,Open,High,Low,Close,Volume
3/16/2017,281.5,284.9,273.6,283.86,2534700
3/17/2017,284,293.5,282,285.4,15580800
3/20/2017,289.7,289.7,281.9,286.84,226000
3/21/2017,286.45,286.51,282.5,283.03,518400
3/22/2017,285,285,281.51,282.21,6070300
3/24/2017,282,286.99,282,283.98,1336500
3/27/2017,286.99,287.5,283,284.49,234000
3/28/2017,284,284.5,282.25,283.01,887600
3/29/2017,285,285,277,278.31,679600
3/30/2017,279,279.99,272.06,273.51,721300
3/31/2017,273.5,273.5,267,269.61,739400
4/3/2017,270,270.21,267.5,267.92,203900
4/4/2017,268,268.65,264.11,265.49,912200
4/5/2017,265.45,266.39,259,259.98,798900
4/6/2017,260,260.9,257.8,259.6,1066200
4/7/2017,260.4,268.85,260.01,267.25,930000
4/10/2017,266,271.01,266,269.97,910600
4/11/2017,268.8,276.51,267.99,276.03,603200
4/12/2017,276.02,279.98,274,275.68,207700
4/13/2017,276,276,269.01,269.95,254100
4/14/2017,268.55,272,265,268.72,177100
4/17/2017,271.8,271.99,260,263.88,329000
4/18/2017,264.98,264.98,257,259.1,1743400
4/19/2017,254,261,252.11,260.26,2030400
4/20/2017,260.3,273.27,257.01,268.92,3547000
4/21/2017,270.11,278.5,270,275.6,1727200
4/24/2017,276,278,271.5,273.14,403700
4/25/2017,272.2,274,264.3,270.41,1600300
4/26/2017,269,276.4,269,275.83,1246000
4/27/2017,272.01,275.49,270,271.36,577600
4/28/2017,271.5,278,271.5,275.59,1670600
5/2/2017,275.5,277,272,275.65,494400
5/3/2017,275,280,272.5,278.59,932700
5/4/2017,280,287,279,284.78,2044500
5/5/2017,288.8,294.75,285,291,1873400
5/8/2017,292,305.55,291,305.55,3574000
5/9/2017,309,312.5,301.5,302.24,2133000
5/10/2017,302.75,309,300,306.96,1382400
5/11/2017,307.86,310,305.06,308.57,1453300
5/12/2017,308.61,308.61,304.02,307.29,1372400
5/15/2017,307.5,314,306.5,307.97,2563600
5/16/2017,310,312,296.12,297.67,4227800
5/17/2017,300.6,302,290.15,295,3649000
5/18/2017,293.8,297,291,292.02,955400
5/19/2017,293,295.5,288,290.44,1053900
5/22/2017,290.44,300,289.99,299.03,2468400
5/23/2017,302,306,299.55,303.33,5119200
5/24/2017,304.5,309.8,303.1,306.84,2928500
5/25/2017,307.89,308,302,305.48,1808800
5/26/2017,305.51,307,296,299.22,2646200
5/29/2017,298.11,298.11,290.65,292.53,2237600
5/30/2017,292,297.5,279.97,284.58,2009000
5/31/2017,285.98,287,270.36,271.05,17106600
6/1/2017,271,274.62,257.5,260.2,8724800
6/2/2017,258,262,248.5,256.02,4223300
6/5/2017,256,267.95,256,266.65,2633000
6/6/2017,268,272,263.5,270.68,2324500
6/7/2017,274,274.5,267,269.86,1575700
6/8/2017,269.98,271.03,260.02,261.81,1996300
6/9/2017,259.31,263,255.01,257.49,1532300
6/12/2017,259,259,244.62,249.06,1767200
6/13/2017,249.98,261.51,249.98,260.95,1303200
6/14/2017,261.5,269,261.5,265.84,1232800
6/15/2017,263,271,263,267.07,961900
6/16/2017,268,272,257.99,259.75,3220100
6/19/2017,263,269,255.11,256.93,516700
6/20/2017,256.99,258,244.09,244.41,1733800
6/21/2017,241.55,249,235,246.4,1845100
6/22/2017,244.25,254.01,244.25,253.33,1552700
6/29/2017,251.25,265.99,250,265.99,2104400
6/30/2017,266,271,263,269.14,1278500
7/3/2017,270,270,255.69,255.69,1354200
7/4/2017,255.01,259,250.01,254.42,634800
7/5/2017,252.71,259.9,241.7,246.94,2925200
7/6/2017,247,250,242.2,247.1,2119400
7/7/2017,245,251.5,245,250.37,723700
7/10/2017,241.01,257,241.01,254.5,668500
7/11/2017,247,247,241.78,241.78,1539900
7/12/2017,236.01,247,233,245.97,1238500
7/13/2017,243.11,255,239,249.83,652400
7/14/2017,248.55,255,245.02,253.04,794200
7/17/2017,253.5,253.5,246.5,251.3,827000
7/18/2017,251.02,256,249.5,253.57,1140000
7/19/2017,254,254.5,250.5,252.69,952600
7/20/2017,254.95,256.5,249.99,252.21,609900
7/21/2017,250.8,254.5,247.5,253.13,236200
7/24/2017,253.13,254,251.05,253,761600
7/25/2017,252.1,254.96,252,252.62,1808300
7/26/2017,253.5,253.6,246,251.15,325100
7/27/2017,251.99,252,249.2,250.36,1153300
7/28/2017,245.1,249.5,237.85,248.69,2236300
7/31/2017,251,252.75,236.26,236.26,4985100
8/1/2017,231,232.24,224.45,227.54,6377500
8/2/2017,232.51,235.9,231.5,234.24,2067600
8/3/2017,235.5,237.5,235.5,236.84,682400
8/4/2017,238.47,239.44,236.6,237.13,783800
8/7/2017,237.99,237.99,235,237.03,423300
8/8/2017,236.51,237.74,235,235.28,701800
8/9/2017,235,235.01,231.5,231.84,1188700
8/10/2017,232.48,233.45,229,229.8,517400
8/11/2017,228.5,228.5,225.25,226.55,623000
8/15/2017,227,229,221,222.56,1249000
8/16/2017,223.88,226,220.57,224.37,303900
8/17/2017,223.97,223.97,216,217.23,364800
8/18/2017,217.25,218.88,212,215.48,2790800
8/21/2017,214.9,216.94,213.06,214.16,1217700
8/22/2017,212.2,218,209.61,215.3,484000
8/23/2017,210.6,219.97,210.5,218.66,479600
8/24/2017,219.99,222.26,213,215.77,373300
8/25/2017,217.9,219.79,214,218.11,159500
8/28/2017,207.21,207.21,207.21,207.21,606400
8/29/2017,196.85,196.85,196.85,196.85,158400
