"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Summary of Foreign Investment in Pakistan","31-Aug-2024","TS_GP_FI_SUMFIPK_M.FI00080","..................b Debt Securities","0","Million USD","Normal","NA","80","Private Portfolio Investment Debt Securities"
"Summary of Foreign Investment in Pakistan","31-Aug-2024","TS_GP_FI_SUMFIPK_M.FI00090","......II Foreign Public Investment","-66.8158843","Million USD","Normal","NA","90","Net Foreign Public Portfolio Investment"
"Summary of Foreign Investment in Pakistan","31-Aug-2024","TS_GP_FI_SUMFIPK_M.FI00100","............i Portfolio Investment","-66.8158843","Million USD","Normal","NA","100","Net Foreign Public Portfolio Investment"
"Summary of Foreign Investment in Pakistan","31-Aug-2024","TS_GP_FI_SUMFIPK_M.FI00110","..................a Equity Securities","0","Million USD","Normal","NA","110","Net Foreign Public Portfolio Investment in Equity Securities"
"Summary of Foreign Investment in Pakistan","31-Aug-2024","TS_GP_FI_SUMFIPK_M.FI00120","..................b Debt Securities","-66.8158843","Million USD","Normal","NA","120","Net Foreign Public Portfolio Investment in Debt Securities"
"Summary of Foreign Investment in Pakistan","31-Jul-2024","TS_GP_FI_SUMFIPK_M.FI00010","1 Total Foreign Investment","340.7871146","Million USD","Normal","NA","10","Net Total Foreign Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","31-Jul-2024","TS_GP_FI_SUMFIPK_M.FI00020","......I Foreign Private Investment","195.735772","Million USD","Normal","NA","20","Net Foreign Private Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","31-Jul-2024","TS_GP_FI_SUMFIPK_M.FI00030","............i FDI in Pakistan","172.093384","Million USD","Normal","NA","30","Net Foreign Direct Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","31-Jul-2024","TS_GP_FI_SUMFIPK_M.FI00040","..................a FDI Inflow","212.191662","Million USD","Normal","NA","40","Total FDI Inflows in Pakistan"
"Summary of Foreign Investment in Pakistan","31-Jul-2024","TS_GP_FI_SUMFIPK_M.FI00050","..................b FDI Outflow","40.098278","Million USD","Normal","NA","50","Total FDI outflows from Pakistan"
"Summary of Foreign Investment in Pakistan","31-Jul-2024","TS_GP_FI_SUMFIPK_M.FI00060","............ii Private Portfolio Investment","23.642388","Million USD","Normal","NA","60","Net Foreign Private Portfolio Investment"
